num_etab;ine;code_diplome;c_jour_nais;c_mois_nais;c_annee_nais;c_annee_bac;c_serie_bac;c_sexe;c_nation;c_double_diplome;c_a_enqueter;statut_reponse;date_reponse;q2_1;q2_2;q2_3;q2_4a;q2_4_1;q2_4_2;q2_4_3;q2_4_4;q2_4_5;q2_4_6;q2_4_7;q2_5;q3_1_1;q3_1_2;q4_1;q4_2s;q4_2r;q4_3;q5_1;q5_2;q5_3;q5_4;q6_1;q6_2;q6_3;q6_4;q6_5;q6_6s;q6_6r;q6_7;q6_8;q6_9;q6_10;q6_11;q6_12;q6_13;q6_14a;q6_14b;q6_15;q6_16;q6_17;q7_1;q8_1;q8_2s;q8_2r;q8_3;q8_4;q8_5;q8_6;q8_7;region_bac;effectifsEmployeur;libdip1;libdip2;libdip3;annee
565;60931;2210790;6;12;1979;1998;31;h;e;NA;;5;3032016;112013;3;2;1;2;1;2;2;2;2;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;112005;Directeur ventes et Marketing Division Service et Pièces  Chez Atlas copco Maroc ;3;2;2;1;NA;2000;1;8000;4;2;1;NA;2;112005;NA;1;3;2;2;1;NA;1800;1;6000;70;de 3 Ã  9;MASTER LMD;gdor;wrafev;2013
566;60931;2210790;15;10;1986;2008;31;f;e;NA;;5;2122015;92013;1;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;1;3;52015;INTERIMAIRE VENDEUSE EN MAGASIN;NA;NA;NA;2;60;NA;2;NA;5;8;54;NA;NA;NA;NA;1;11;7;7;2;60;678;2;NA;61;de 3 Ã  9;MASTER LMD;gdor;wrafev;2014
567;60931;2210790;12;3;1988;2008;31;h;e;NA;;5;2122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;82015;Chef de produit;1;7;7;1;NA;1500;2;NA;1;13;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;27;Aucun salariÃ©;MASTER LMD;gdor;wrafev;2014
568;60931;2210790;NA;NA;NA;NA;;f;;NA;;5;3122015;122013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;chargé d'études marketing;3;2;2;1;NA;1822;1;NA;4;4;59;NA;1;NA;NA;1;5;2;2;1;NA;1800;1;NA;74;de 3 Ã  9;MASTER LMD;gdor;wrafev;2015
569;60931;2210790;28;9;1989;2008;31;f;e;NA;;5;2122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102014;Chef de projets dans une boîte de communication digitale;3;2;2;1;NA;700;2;NA;4;5;99;350;2;102012;92014;1;3;2;2;1;NA;700;2;NA;46;de 10 Ã  49;MASTER LMD;gdor;wrafev;2015
570;60931;2210790;2;4;1980;1998;31;h;e;NA;;5;13122015;112013;3;NA;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22010;Responsable des Ventes Plâtres Techniques ;3;2;2;1;NA;1300;1;4000;4;2;99;350;1;NA;NA;1;3;2;2;1;NA;1300;1;4000;63;de 3 Ã  9;MASTER LMD;gdor;wrafev;2013
571;60931;2210790;30;3;1990;2006;31;f;e;NA;;5;3122015;92014;3;3;2;2;2;2;2;2;2;2;1;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72011;Chef de service marchés de niche;2;2;2;1;NA;850;1;1500;2;10;98;NA;1;NA;NA;1;2;2;2;1;NA;650;1;1100;16;de 10 Ã  49;MASTER LMD;gdor;wrafev;2013
572;60931;2224824;NA;NA;NA;NA;;h;;NA;;4;12122015;62013;3;3;1;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92015;finance gratuate;5;2;2;1;NA;2600;1;10000;4;6;NA;NA;1;NA;NA;1;5;2;2;1;NA;2600;1;NA;74;plus de 500;LICENCE PRO;heei;yhqxld;2014
573;60931;2224824;NA;NA;NA;2008;;f;;NA;;4;15012016;122013;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;de 10 Ã  49;LICENCE PRO;heei;yhqxld;2015
574;60931;2224824;NA;NA;NA;NA;;f;;NA;;5;27122015;62013;2;2;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Adjoint des cadres;5;3;3;1;NA;1750;2;NA;2;11;13;NA;2;92013;42014;2;NA;NA;NA;NA;NA;NA;NA;NA;3;de 50 Ã  499;LICENCE PRO;heei;yhqxld;2015
575;60931;2224824;NA;NA;NA;2010;;h;;NA;;4;14012016;72013;1;3;1;2;2;2;2;2;1;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122014;ASSISTANTE DE GESTION;3;2;2;1;NA;2000;2;NA;4;6;6;NA;2;122011;102014;1;5;2;2;1;NA;2000;2;NA;19;de 50 Ã  499;LICENCE PRO;heei;yhqxld;2013
576;60931;2224824;NA;NA;NA;NA;;h;;NA;;5;3022016;72013;3;1;2;2;2;2;2;2;2;2;2;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53;de 3 Ã  9;LICENCE PRO;heei;yhqxld;2014
577;60931;2215129;NA;NA;NA;NA;;f;;NA;;5;23012016;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;92012;agent d'accueil ;3;5;5;2;70;789;2;NA;2;12;6;NA;1;NA;NA;1;3;5;5;2;70;789;2;NA;59;plus de 500;MASTER ENS;fkrt;wvqcff;2015
578;60931;2215129;NA;NA;NA;NA;;h;;NA;;5;5122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;"\ operations manager\"" chez SOS yachting France """;3;2;2;1;NA;2400;1;2400;4;13;6;NA;1;NA;NA;1;3;7;7;1;NA;1800;2;NA;15;plus de 500;MASTER ENS;fkrt;wvqcff;2014
579;60931;2215129;NA;NA;NA;NA;;h;;NA;;4;16012016;102013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;42015;Employée bac office titre;3;7;7;1;NA;1545;1;NA;4;6;6;NA;2;72012;22015;1;5;7;7;1;NA;1900;2;NA;56;de 50 Ã  499;MASTER ENS;fkrt;wvqcff;2013
580;60931;2215129;NA;NA;NA;NA;;h;;NA;;5;3122015;102013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;Chargée de mission code de l'environnement de la province Sud (Nouvelle-Calédonie);5;2;2;1;NA;2343;2;NA;2;10;98;NA;2;92013;92015;1;5;2;2;1;NA;1547;2;NA;53;de 3 Ã  9;MASTER ENS;fkrt;wvqcff;2015
581;60931;2215129;NA;NA;NA;NA;;f;;NA;;5;2022016;102013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72014;Cadre;3;2;2;1;NA;2000;1;5000;4;2;78;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;68;de 10 Ã  49;MASTER ENS;fkrt;wvqcff;2015
582;60931;2215129;NA;NA;NA;NA;;h;;NA;;4;18122015;92013;3;3;1;1;2;2;2;2;2;2;1;2;2;3;NA;NA;2;1;62015;92015;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;58;de 3 Ã  9;MASTER ENS;fkrt;wvqcff;2013
583;60931;2215129;NA;NA;NA;NA;;f;;NA;;5;3122015;92013;2;3;2;2;2;2;2;2;2;2;2;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;plus de 500;MASTER ENS;fkrt;wvqcff;2014
584;60931;2215129;NA;NA;NA;2007;;f;;NA;;4;1032016;92013;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;de 50 Ã  499;MASTER ENS;fkrt;wvqcff;2014
585;60931;2215129;NA;NA;NA;NA;;h;;NA;;4;13022016;62013;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;Aucun salariÃ©;MASTER ENS;fkrt;wvqcff;2013
586;60931;2215129;NA;NA;NA;NA;;f;;NA;;4;22012016;102013;3;3;2;2;2;2;2;2;2;2;2;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98;Aucun salariÃ©;MASTER ENS;fkrt;wvqcff;2014
587;60931;2215129;NA;NA;NA;NA;;h;;NA;;5;20122015;92013;3;2;1;2;1;2;2;2;2;1;2;3;3;3;NA;NA;1;NA;NA;NA;NA;1;NA;52010;Président SAS;1;2;2;1;NA;4500;NA;NA;4;13;6;NA;NA;NA;NA;1;1;2;2;1;NA;4500;NA;NA;32;de 3 Ã  9;MASTER ENS;fkrt;wvqcff;2014
588;60931;2214693;26;2;1985;2004;L;h;f;NA;;5;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;de 10 Ã  49;MASTER ENS;tgpc;njdhle;2013
589;60931;2214693;28;12;1990;2008;L;f;f;NA;;4;18122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;1;12014;92015;92013;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;58;plus de 500;MASTER ENS;tgpc;njdhle;2015
590;60931;2214693;3;11;1989;2007;S;f;f;NA;oui;4;18022016;102013;3;3;2;2;2;2;2;2;2;2;2;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;plus de 500;MASTER ENS;tgpc;njdhle;2013
591;60931;2214693;NA;NA;NA;2007;S;f;;NA;;4;13022016;102013;3;3;2;2;2;2;2;2;2;2;2;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;de 3 Ã  9;MASTER ENS;tgpc;njdhle;2013
592;60931;2214693;16;4;1990;2008;ES;h;f;NA;oui;4;13022016;62013;3;3;2;2;2;2;2;2;2;2;2;3;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;JUNIOR LEGAL COUNCEL JURISTE D'ENTREPRISE ;3;2;2;1;NA;3500;2;NA;4;4;99;132;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;43;Aucun salariÃ©;MASTER ENS;tgpc;njdhle;2013
593;60931;2214693;NA;NA;NA;2008;L;f;;NA;;5;16022016;92013;1;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;de 10 Ã  49;MASTER ENS;tgpc;njdhle;2013
594;60931;2214693;21;11;1989;2008;ES;f;f;NA;oui;5;4032016;52013;1;3;2;2;2;2;2;2;2;2;2;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;12015;CDD juriste junior droit des sociétés chez DERICHEBOURG ENVIRONNEMENT;5;2;2;1;NA;2044;NA;NA;4;13;75;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;99;Aucun salariÃ©;MASTER ENS;tgpc;njdhle;2013
595;60931;2214693;NA;NA;NA;2008;ES;f;e;NA;;5;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;plus de 500;MASTER ENS;tgpc;njdhle;2013
596;60931;2214693;NA;NA;NA;2006;ES;f;;NA;;5;2122015;102013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;NA;NA;102013;Legal Associate;3;2;2;1;NA;3000;1;3000;4;6;99;137;2;102013;82015;1;3;2;2;1;NA;2600;1;1500;62;de 10 Ã  49;MASTER ENS;tgpc;njdhle;2015
597;60931;2216616;NA;NA;NA;NA;;f;;NA;;5;2122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;82014;Chargée de mission;3;2;2;1;NA;1780;1;2670;4;6;75;NA;1;NA;NA;1;3;2;2;1;NA;1780;1;2670;77;de 50 Ã  499;MASTER LMD;heei;jihzpq;2014
598;60931;2216616;NA;NA;NA;NA;;h;;NA;;4;16012016;92013;3;3;1;2;2;1;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112013;Juriste;5;4;4;1;NA;NA;NA;NA;4;6;6;NA;2;112013;82015;1;5;4;4;1;NA;NA;NA;NA;24;de 3 Ã  9;MASTER LMD;heei;jihzpq;2014
599;60931;2216616;NA;NA;NA;2003;;h;;NA;;4;11122015;112013;3;1;1;2;2;2;2;2;1;2;2;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;de 10 Ã  49;MASTER LMD;heei;jihzpq;2014
600;60931;2216616;NA;NA;NA;2007;;h;;NA;;4;26012016;62013;1;3;1;2;2;2;2;2;2;1;2;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;de 10 Ã  49;MASTER LMD;heei;jihzpq;2013
601;60931;2216616;NA;NA;NA;2005;;h;;NA;;5;2122015;112013;1;3;1;2;2;1;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72015;Factory Purchasing Assistant;3;2;2;1;NA;540;2;NA;4;7;99;114;2;22014;82014;1;3;2;2;1;NA;650;2;NA;12;de 3 Ã  9;MASTER LMD;heei;jihzpq;2015
602;60931;2216616;NA;NA;NA;2005;;h;;NA;;4;26012016;62013;3;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;JURISTE BANCAIRE;5;1;1;1;NA;1600;NA;NA;4;8;75;NA;2;42015;102015;3;NA;NA;NA;NA;NA;NA;NA;NA;24;de 10 Ã  49;MASTER LMD;heei;jihzpq;2014
603;60931;2216616;NA;NA;NA;2002;;h;;NA;;4;26012016;62013;1;2;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;3;1;12014;82014;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;7;7;2;40;400;2;NA;73;plus de 500;MASTER LMD;heei;jihzpq;2014
604;60931;2216616;NA;NA;NA;NA;;h;;NA;;5;23122015;62013;3;3;1;2;2;2;2;2;1;2;2;3;1;3;NA;NA;2;1;22014;122015;122015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;2;1;NA;500;2;NA;11;de 50 Ã  499;MASTER LMD;heei;jihzpq;2015
605;60931;2216616;NA;NA;NA;NA;;h;;NA;;5;2122015;92013;3;3;1;2;2;2;2;2;1;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Operations Intake Analyst;3;2;2;1;NA;3809;1;NA;4;6;99;132;2;52014;12015;1;5;7;7;1;NA;1600;2;NA;17;Aucun salariÃ©;MASTER LMD;heei;jihzpq;2014
606;60931;2216616;NA;NA;NA;2007;;f;;NA;;5;16122015;102013;2;3;1;2;2;2;2;2;2;1;2;3;2;2;2;2;1;NA;NA;NA;NA;2;NA;92013;agent secteur encaissement;3;7;7;2;25;330;1;330;4;4;6;NA;2;102014;52015;1;3;7;7;2;25;330;1;330;6;de 3 Ã  9;MASTER LMD;heei;jihzpq;2014
607;60931;2220500;NA;NA;NA;NA;;f;;NA;;5;2122015;62013;3;3;2;2;2;2;2;2;2;2;2;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;de 3 Ã  9;MASTER LMD;tgpc;zudysc;2015
608;60931;2220500;NA;NA;NA;NA;;f;;NA;;4;11122015;62013;3;3;2;2;2;2;2;2;2;2;1;3;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;de 50 Ã  499;MASTER LMD;tgpc;zudysc;2014
609;60931;2220500;NA;NA;NA;2006;;h;;NA;;5;3122015;72014;2;3;1;2;2;2;2;2;1;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;plus de 500;MASTER LMD;tgpc;zudysc;2015
610;60931;2220500;NA;NA;NA;2002;;h;;NA;;5;3032016;62013;3;NA;2;2;2;2;2;2;2;2;2;3;3;1;2;2;2;NA;NA;NA;12015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;7;7;2;50;400;2;NA;85;de 50 Ã  499;MASTER LMD;tgpc;zudysc;2014
611;60931;2220500;NA;NA;NA;2005;;h;;NA;;5;NA;62013;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2;2;1;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;de 3 Ã  9;MASTER LMD;tgpc;zudysc;2015
612;60931;2220500;NA;NA;NA;NA;;f;;NA;;5;14032016;72013;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;de 10 Ã  49;MASTER LMD;tgpc;zudysc;2014
613;60931;2205681;NA;NA;NA;NA;;f;;NA;;5;NA;102013;1;3;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;de 10 Ã  49;MASTER ENS;ecwr;esumyw;2015
614;60931;2205681;NA;NA;NA;2004;;f;;NA;;4;13022016;102013;3;1;1;2;2;1;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122013;agent de securité ;3;4;4;2;60;740;2;NA;4;13;45;NA;1;NA;NA;1;3;4;4;2;60;740;NA;NA;2;de 10 Ã  49;MASTER ENS;ecwr;esumyw;2015
615;60931;2205681;18;12;1989;2007;31;f;e;NA;;5;3032016;62013;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;NA;NA;NA;NA;2;NA;102015;Stagiaire ;NA;NA;NA;1;NA;NA;2;NA;5;NA;99;NA;2;72014;82015;1;NA;NA;NA;1;NA;NA;2;NA;18;de 3 Ã  9;MASTER ENS;ecwr;esumyw;2014
616;60931;2205681;NA;NA;NA;2007;;f;;NA;;5;14122015;62013;3;3;2;2;2;2;2;2;2;2;2;2;NA;3;NA;NA;1;NA;NA;NA;NA;2;NA;42015;Expert junior au secrétariat permanent du plan de développement économique et social au Niger ;5;2;2;1;NA;700;2;NA;2;13;99;337;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;71;de 50 Ã  499;MASTER ENS;ecwr;esumyw;2014
617;60931;2205681;16;11;1981;2002;31;h;e;NA;;5;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;de 10 Ã  49;MASTER ENS;ecwr;esumyw;2015
618;60931;2205681;NA;NA;NA;2003;;h;;NA;;5;2022016;112013;3;3;1;2;2;2;2;2;2;1;2;2;2;3;NA;NA;2;1;12014;62014;12015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;88;Aucun salariÃ©;MASTER ENS;ecwr;esumyw;2013
619;60931;2205681;NA;NA;NA;NA;;h;;NA;;5;2122015;102013;3;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52015;Economiste du développement;12;1;1;1;NA;1850;2;NA;2;NA;99;333;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;62;Aucun salariÃ©;MASTER ENS;ecwr;esumyw;2014
620;60931;2210694;NA;NA;NA;NA;;h;;NA;;5;19032016;92013;3;3;1;2;1;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;Officier spécialisé de la Marine nationale ;2;1;1;1;NA;1700;1;4000;2;13;29;NA;1;NA;NA;1;2;1;1;1;NA;1500;2;NA;79;de 3 Ã  9;LICENCE PRO;tlcc;yhxiqc;2013
621;60931;2210694;NA;NA;NA;NA;;f;;NA;;4;5122015;62013;3;3;2;2;2;2;2;2;2;2;2;3;3;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98;plus de 500;LICENCE PRO;tlcc;yhxiqc;2013
622;60931;2210694;NA;NA;NA;NA;;f;;NA;;4;22122015;92013;3;3;1;2;2;2;2;2;1;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;42014;analyse géo-politique sur les théâtre militaire ;5;3;3;1;NA;1300;2;NA;2;11;60;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;35;plus de 500;LICENCE PRO;tlcc;yhxiqc;2015
623;60931;2210694;NA;NA;NA;NA;;h;;NA;;5;6012016;NA;3;3;2;2;2;2;2;2;2;2;NA;3;2;2;2;2;1;NA;NA;NA;NA;2;NA;72015;Conception de site Web, développement et vente de solutions informatiques. ;1;NA;NA;2;70;NA;NA;NA;1;NA;77;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;21;de 10 Ã  49;LICENCE PRO;tlcc;yhxiqc;2013
624;60931;2210694;NA;NA;NA;NA;;f;;NA;;5;18012016;NA;NA;3;NA;2;2;2;2;2;2;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;fonctionnaire;2;1;1;1;NA;2500;2;NA;2;13;69;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;76;de 3 Ã  9;LICENCE PRO;tlcc;yhxiqc;2015
625;60931;2210694;NA;NA;NA;NA;;h;;NA;;5;2022016;62013;3;3;1;2;2;2;2;2;2;1;2;3;3;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;de 50 Ã  499;LICENCE PRO;tlcc;yhxiqc;2014
626;60931;2210694;NA;NA;NA;NA;;h;;NA;;4;16012016;102013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;intérim;7;7;7;1;NA;1400;1;NA;4;5;6;NA;2;92013;102013;1;NA;NA;NA;NA;NA;NA;NA;NA;14;de 3 Ã  9;LICENCE PRO;tlcc;yhxiqc;2013
627;60931;2210694;NA;NA;NA;NA;;f;;NA;;5;11122015;62013;3;3;1;2;2;2;2;2;2;1;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;62015;Analyste stratégique ;3;2;2;1;NA;2500;2;NA;4;2;75;NA;1;NA;NA;1;7;2;2;1;NA;2100;2;NA;27;plus de 500;LICENCE PRO;tlcc;yhxiqc;2015
628;60931;2210694;NA;NA;NA;NA;;f;;NA;;5;12122015;42013;2;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;32014;Aspirant de gendarmerie issu du volontariat;5;3;3;1;NA;997;2;NA;2;10;67;NA;1;NA;NA;1;5;3;3;1;NA;997;2;NA;58;de 10 Ã  49;LICENCE PRO;tlcc;yhxiqc;2014
629;60931;2210694;NA;NA;NA;NA;;h;;NA;;4;18122015;92013;3;1;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;attachée parlementaire;3;3;3;1;NA;1900;2;NA;NA;13;6;NA;1;NA;NA;1;3;3;3;1;NA;1700;2;NA;14;de 10 Ã  49;LICENCE PRO;tlcc;yhxiqc;2013
630;60931;2210694;NA;NA;NA;NA;;f;;NA;;4;16012016;62013;3;3;1;2;2;2;2;2;1;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;chargée de recouvrement;3;7;7;1;NA;1350;1;NA;4;11;6;NA;1;NA;NA;1;3;7;7;1;NA;1700;1;NA;46;plus de 500;LICENCE PRO;tlcc;yhxiqc;2013
631;60931;2210694;NA;NA;NA;NA;;f;;NA;;5;2122015;92013;3;2;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Responsable de site;5;4;4;1;NA;1800;2;NA;4;13;74;NA;2;12014;122014;1;5;1;1;1;NA;3700;2;NA;43;Aucun salariÃ©;LICENCE PRO;tlcc;yhxiqc;2015
632;60931;2210694;NA;NA;NA;2007;;f;;NA;;4;10122015;62013;3;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;42015;Chef de projet international ;3;2;2;1;NA;1700;2;NA;4;3;6;NA;2;62014;42015;1;5;4;4;1;NA;1700;2;NA;22;de 3 Ã  9;LICENCE PRO;tlcc;yhxiqc;2014
