num_etab;ine;code_diplome;c_jour_nais;c_mois_nais;c_annee_nais;c_annee_bac;c_serie_bac;c_sexe;c_nation;c_double_diplome;c_a_enqueter;statut_reponse;date_reponse;q2_1;q2_2;q2_3;q2_4a;q2_4_1;q2_4_2;q2_4_3;q2_4_4;q2_4_5;q2_4_6;q2_4_7;q2_5;q3_1_1;q3_1_2;q4_1;q4_2s;q4_2r;q4_3;q5_1;q5_2;q5_3;q5_4;q6_1;q6_2;q6_3;q6_4;q6_5;q6_6s;q6_6r;q6_7;q6_8;q6_9;q6_10;q6_11;q6_12;q6_13;q6_14a;q6_14b;q6_15;q6_16;q6_17;q7_1;q8_1;q8_2s;q8_2r;q8_3;q8_4;q8_5;q8_6;q8_7;region_bac;effectifsEmployeur;libdip1;libdip2;libdip3;annee
2704;60931;2005136;NA;NA;NA;NA;;h;;NA;;4;22012016;92013;3;3;NA;2;2;1;2;2;NA;2;NA;3;3;3;NA;NA;2;1;72013;112013;122015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;NA;NA;1;NA;NA;1;NA;33;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2013
2705;60931;2005136;NA;NA;NA;NA;;h;;NA;;4;22012016;92013;3;3;NA;1;2;2;2;2;NA;2;NA;1;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;12015;rédacteur en journalisme ;5;7;7;1;NA;2400;2;NA;4;5;92;NA;2;12015;62015;3;NA;NA;NA;NA;NA;NA;NA;NA;21;de 3 Ã  9;MASTER ENS;lvjn;feqvka;2014
2706;60931;2005136;NA;NA;NA;NA;;f;;NA;;4;30012016;92013;3;1;NA;2;1;1;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52015;auteur ;8;7;7;2;50;NA;NA;NA;4;5;69;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;56;plus de 500;MASTER ENS;lvjn;feqvka;2013
2707;60931;2005136;NA;NA;NA;NA;;f;;NA;;5;19122015;92013;1;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;réceptionniste;5;NA;NA;2;30;824;2;NA;4;4;13;NA;2;102013;112013;3;NA;NA;NA;NA;NA;NA;NA;NA;63;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2013
2708;60931;2005136;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;1;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;2;1;92013;92015;92015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;2;2;1;NA;1900;2;NA;12;plus de 500;MASTER ENS;lvjn;feqvka;2014
2709;60931;2005136;NA;NA;NA;NA;;h;;NA;;5;25032016;92013;3;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;52015;Équiper Polyvalent;3;7;7;2;80;1150;2;NA;4;4;75;NA;2;102013;62014;2;NA;NA;NA;NA;NA;NA;NA;NA;31;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2015
2710;60931;2005136;NA;NA;NA;NA;;h;;NA;;5;27022016;92013;3;3;NA;2;2;1;2;2;NA;2;NA;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2015
2711;60931;2005136;NA;NA;NA;NA;;f;;NA;;5;21122015;62013;3;3;NA;2;1;2;2;2;NA;2;NA;1;1;1;NA;NA;2;1;92015;122015;122015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;96;de 50 Ã  499;MASTER ENS;lvjn;feqvka;2015
2712;60931;2005136;NA;NA;NA;NA;;h;;NA;;5;19122015;92013;3;2;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;12013;Journaliste reporter d'images et assistante de cameraman/camerawoman;1;NA;NA;NA;NA;1000;2;NA;1;NA;99;109;2;72013;62015;1;5;7;7;1;NA;980;2;NA;15;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2014
2713;60931;2003395;NA;NA;NA;NA;;f;;NA;;4;20022016;92013;3;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52015;Serveuse;5;7;7;2;75;1600;NA;NA;4;4;6;NA;2;62014;92014;3;NA;NA;NA;NA;NA;NA;NA;NA;45;de 3 Ã  9;MASTER ENS;siyi;mnbkay;2013
2714;60931;2003395;NA;NA;NA;2010;;f;;NA;;4;9022016;42013;3;3;NA;1;2;2;2;2;NA;2;NA;3;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;de 50 Ã  499;MASTER ENS;siyi;mnbkay;2015
2715;60931;2003395;NA;NA;NA;NA;;h;;NA;;4;9022016;72013;3;3;NA;2;1;1;2;2;NA;2;NA;3;3;3;NA;NA;2;1;92013;12015;12015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;2;2;1;NA;1230;1;NA;67;de 3 Ã  9;MASTER ENS;siyi;mnbkay;2015
2716;60931;2003395;NA;NA;NA;NA;;h;;NA;;4;23012016;82013;3;3;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102014;restaurateur ;1;2;2;2;75;1083;1;1083;1;4;78;NA;2;42014;92014;1;1;2;2;1;NA;300;2;NA;87;de 3 Ã  9;MASTER ENS;siyi;mnbkay;2014
2717;60931;2003395;NA;NA;NA;NA;;f;;NA;;4;23012016;62013;3;2;NA;2;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;42000;consultant informatique ;3;2;2;1;NA;2000;2;NA;4;7;6;NA;NA;NA;NA;1;3;2;2;1;NA;2000;NA;NA;6;plus de 500;MASTER ENS;siyi;mnbkay;2013
2718;60931;2003395;NA;NA;NA;NA;;f;;NA;;4;23012016;62013;3;3;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122013;travailleur indépendant;1;7;7;1;NA;1950;1;NA;1;4;99;138;1;NA;NA;1;1;7;7;1;NA;1950;1;NA;30;de 50 Ã  499;MASTER ENS;siyi;mnbkay;2013
2719;60931;2003395;18;12;1986;2006;32;h;f;NA;;4;23012016;92013;3;2;NA;2;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;62014;gérant structure ;1;2;2;1;NA;1200;2;NA;1;13;13;NA;2;62013;102013;1;1;2;2;1;NA;1200;2;NA;26;de 50 Ã  499;MASTER ENS;siyi;mnbkay;2013
2720;60931;2005138;NA;NA;NA;NA;;h;;NA;;4;23012016;92013;1;1;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72015;adjoint administratif première classe au ministère de l'intérieur ;2;5;5;1;NA;1577;1;150;2;10;83;NA;2;102013;122013;1;5;7;7;1;NA;1300;2;NA;85;de 10 Ã  49;LICENCE PRO;tlcc;kxljek;2015
2721;60931;2005138;NA;NA;NA;NA;;h;;NA;;4;22122015;102013;1;2;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112015;réceptionniste;3;NA;NA;1;NA;2000;1;2250;4;4;6;NA;2;112013;12014;1;5;7;7;1;NA;1200;2;NA;15;de 3 Ã  9;LICENCE PRO;tlcc;kxljek;2013
2722;60931;2005138;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;3;1;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;2;1;92013;112014;112015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;7;7;1;NA;1300;1;2000;92;de 50 Ã  499;LICENCE PRO;tlcc;kxljek;2015
2723;60931;2005138;NA;NA;NA;NA;;h;;NA;;4;23012016;102013;3;3;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;2;1;92014;82015;82015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;7;7;1;NA;1200;1;2000;97;de 10 Ã  49;LICENCE PRO;tlcc;kxljek;2014
2724;60931;2005138;NA;NA;NA;NA;;h;;NA;;5;27022016;92013;3;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122015;Réceptionniste en hôtellerie ;3;NA;NA;1;NA;1400;1;NA;4;4;69;NA;2;82013;102015;1;3;NA;NA;1;NA;NA;2;NA;25;de 50 Ã  499;LICENCE PRO;tlcc;kxljek;2013
2725;60931;2005138;NA;NA;NA;NA;;h;;NA;;5;22122015;92013;3;1;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;conseillère voyages d'affaires;3;7;7;1;NA;1070;1;1130;4;4;42;NA;1;NA;NA;1;5;7;7;1;NA;1040;1;1050;12;Aucun salariÃ©;LICENCE PRO;tlcc;kxljek;2013
2726;60931;2005138;NA;NA;NA;NA;;h;;NA;;5;3022016;102013;1;1;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Assistante administrative et commerciale;5;7;7;1;NA;1495;1;2500;5;4;44;NA;2;112013;122013;2;NA;NA;NA;NA;NA;NA;NA;NA;53;Aucun salariÃ©;LICENCE PRO;tlcc;kxljek;2015
2727;60931;2005138;NA;NA;NA;NA;;h;;NA;;5;3022016;92013;1;3;NA;2;2;1;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72013;Assistante commerciale ;3;7;7;1;NA;1207;2;NA;4;4;6;NA;1;NA;NA;1;3;7;7;1;NA;1207;2;NA;47;de 10 Ã  49;LICENCE PRO;tlcc;kxljek;2013
2728;60931;2005138;NA;NA;NA;NA;;f;;NA;;5;29022016;92013;3;2;NA;1;2;2;2;2;NA;2;NA;3;3;NA;2;2;1;NA;NA;NA;NA;2;NA;92015;Assistante de production;10;NA;NA;2;75;900;2;NA;4;4;75;NA;2;92013;62014;1;5;NA;NA;2;75;500;NA;NA;4;de 3 Ã  9;LICENCE PRO;tlcc;kxljek;2013
2729;60931;2005138;NA;NA;NA;NA;;f;;NA;;5;2022016;72013;3;2;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;Agent de reservations au Grand Hyatt Cannes Hôtel Martinez;3;7;7;1;NA;1350;1;3000;NA;4;6;NA;1;NA;NA;1;5;7;7;1;NA;1300;1;2000;31;de 50 Ã  499;LICENCE PRO;tlcc;kxljek;2013
2730;60931;2005138;NA;NA;NA;NA;;h;;NA;;4;23012016;72013;3;1;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;réceptionniste ;3;7;7;1;NA;1350;1;2000;4;4;6;NA;1;NA;NA;1;3;7;7;1;NA;1350;1;2000;6;de 10 Ã  49;LICENCE PRO;tlcc;kxljek;2013
2731;60931;2005138;NA;NA;NA;NA;;f;;NA;;5;5022016;92013;1;1;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;32015;Shore Excursions Staff;5;7;7;1;NA;1500;2;NA;4;4;99;NA;2;92014;102014;1;5;7;7;1;NA;1100;2;NA;36;plus de 500;LICENCE PRO;tlcc;kxljek;2014
